ID,VILLE,LIVRES,VACANCES,LIEUVIE,NBCOHAB,CHAMBRE,TRI,EMBALLAGE,RUE,PREOCCUP,SENTIMENTS,CANAL,PRATIQUES,INVESTI,PREF,TEL,SECMAIN,ACHAT,pays_recode,VOYAGE,MOYENALLER,MOYENLIEU,TRANSPORTS1,TRANSPORTS2,TRANSPORTS3,TRANSPORTS4,TRANSPORTS5,RAISON,ALTERNATIVE,ETAB,CLASSE,GENRE,POIDSCAL
9054,Non,plus de 50 livres,3 fois ou plus,en partie chez l'un et chez l'autre,trois,Oui,"on trie tout, y compris le compost",tu cherches la poubelle la plus proche,1,3,2,Les réseaux sociaux,1,"Non, tu n'es pas investi(e)",Le tri des déchets à la cantine,Tu l'as donné à un proche,Plus de deux,Plus de trois,Afrique,Vacances avec ta famille,Avion,Voiture (personnelle / location / taxi),Métro / RER,Train,À pied,Vélo partagé (par exemple : Vélib),"Bus (dont microbus, Traverse, etc.)",Parce que ça te plaît,Vélo personnel,Henri Bergson,2nde,Fille,2.92
1663,Oui,entre 10 et 50 livres,1 fois,avec tes deux parents dans le même logement,+4,Non,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,3,3,1,Les cours,3,"Tu n'es pas investi(e) actuellement, mais tu souhaiterais t'investir à l'avenir",Des aménagements d'espaces verts,Tu as toujours ton premier téléphone,Aucun,Un,Europe,"Évènements familiaux (mariage, anniversaire, décès, etc.)",Avion,Voiture (personnelle / location / taxi),À pied,"Voiture, scooter, moto","Bus (dont microbus, Traverse, etc.)",,,C'est plus rapide,Trottinette,Miriam Makeba,4ème,Fille,1.02222222222337
4967,Non,moins de 10 livres,1 fois,avec tes deux parents dans le même logement,+4,Non,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,4,1,NSPRF,La télévision,4,"Oui, tu es investi(e)",Un parking vélo dans l'établissement,Tu as toujours ton premier téléphone,NSPRF,Un,France,Vacances avec ta famille,Voiture (personnelle/location/taxi),Avion,"Voiture, scooter, moto",Trottinette,Vélo personnel,,,,Train,Miriam Makeba,6ème,Garçon,1.14000000000006
1845,Non,plus de 50 livres,3 fois ou plus,avec tes deux parents dans le même logement,deux,Oui,on trie le verre et d'autres déchets recyclables,tu le gardes pour le jeter à ton retour chez toi,2,3,1,Les réseaux sociaux,3,"Tu n'es pas investi(e) actuellement, mais tu souhaiterais t'investir à l'avenir",La réservation des repas à la cantine,Tu l'as donné à une recyclerie,Plus de deux,Deux,France,Vacances avec ta famille,Voiture (personnelle/location/taxi),Voiture (personnelle / location / taxi),Métro / RER,"Bus (dont microbus, Traverse, etc.)",À pied,Tram,,C'est plus rapide,Vélo personnel,Hélène Boucher,2nde,Fille,3.22222222222222
4362,Non,entre 10 et 50 livres,Jamais,en partie chez l'un et chez l'autre,deux,Oui,on met tout dans la même poubelle,tu le gardes pour le jeter à ton retour chez toi,3,2,2,Les cours,3,"Non, tu n'es pas investi(e)",Un parking vélo dans l'établissement,Tu l'as toujours chez toi,Plus de deux,Plus de trois,Non concerné(e) : tu n'as jamais voyagé,,,,Trottinette,,,,,Parce que ça te plaît,"Voiture, scooter, moto",Miriam Makeba,3ème,Fille,1.13513513513521
1003,NSPRF,moins de 10 livres,1 fois,NSPRF,zero,NSPRF,NSPRF,tu le gardes pour le jeter à ton retour chez toi,3,4,3,NSPRF,1,"Oui, tu es investi(e)",L'installation d'un poulailler,Tu l'as toujours chez toi,NSPRF,NSPRF,Tu ne sais pas ou tu ne souhaites pas répondre,NSPRF,NSPRF,NSPRF,,,,,,C'est plus rapide,Vélo partagé (par exemple : Vélib),Miriam Makeba,3ème,Garçon,1.22727272727274
1900,Non,plus de 50 livres,3 fois ou plus,avec tes deux parents dans le même logement,+4,Oui,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,3,3,1,Les réseaux sociaux,1,"Non, tu n'es pas investi(e)",Un parking vélo dans l'établissement,Tu l'as toujours chez toi,Plus de deux,Plus de trois,France,Vacances avec ta famille,Train (RER/TER/TGV…),Marche à pied,À pied,Tram,,,,C'est plus rapide,Tu ne sais pas ou tu ne souhaites pas répondre,Hélène Boucher,Terminale,Fille,2.58426966292135
1372,Non,plus de 50 livres,2 fois,avec tes deux parents dans le même logement,+4,Oui,on trie le verre et d'autres déchets recyclables,tu cherches la poubelle la plus proche,3,4,1,Les réseaux sociaux,3,"Non, tu n'es pas investi(e)",Une ruche d'abeilles,Tu l'as toujours chez toi,Un seul,Deux,France,Vacances avec ta famille,Train (RER/TER/TGV…),Marche à pied,À pied,Métro / RER,"Bus (dont microbus, Traverse, etc.)",Tram,,C'est plus rapide,Vélo personnel,Hélène Boucher,2nde,Fille,3.22222222222222
4119,Non,moins de 10 livres,2 fois,avec tes deux parents dans le même logement,trois,Oui,NSPRF,tu cherches la poubelle la plus proche,2,3,3,Les conversations en famille,NSPRF,NSPRF,NSPRF,Tu l'as toujours chez toi,Aucun,Aucun,Europe,Vacances avec ta famille,Voiture (personnelle/location/taxi),Marche à pied,À pied,,,,,Aucune de ces réponses ne te correspond,"Bus (dont microbus, Traverse, etc.)",Miriam Makeba,4ème,Garçon,1.24489795918368
6529,Non,moins de 10 livres,1 fois,autre,+4,Ça dépend,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,3,2,1,Les réseaux sociaux,1,"Oui, tu es investi(e)",Une ruche d'abeilles,Tu l'as toujours chez toi,Plus de deux,Un,Afrique,Vacances avec ta famille,Autocar/bus,Avion,"Bus (dont microbus, Traverse, etc.)",À pied,,,,Parce que ça te plaît,Transport adapté aux personnes à mobilité réduite,Miriam Makeba,3ème,Fille,1.13513513513521
4106,Oui,entre 10 et 50 livres,1 fois,avec l'un de tes deux parents seulement,un,Oui,on trie seulement le verre,tu le gardes pour le jeter à ton retour chez toi,1,3,2,Les réseaux sociaux,3,NSPRF,Un parking vélo dans l'établissement,Tu l'as donné à un proche,NSPRF,Deux,Tu ne sais pas ou tu ne souhaites pas répondre,Vacances avec ta famille,Avion,Marche à pied,"Bus (dont microbus, Traverse, etc.)",Métro / RER,Vélo partagé (par exemple : Vélib),,,C'est plus rapide,Tu ne sais pas ou tu ne souhaites pas répondre,Hélène Boucher,Terminale,Fille,2.58426966292135
1661,Non,plus de 50 livres,3 fois ou plus,avec l'un de tes deux parents seulement,deux,Oui,on trie le verre et d'autres déchets recyclables,tu cherches la poubelle la plus proche,3,3,2,La télévision,3,"Non, tu n'es pas investi(e)",Des aménagements d'espaces verts,Tu l'as toujours chez toi,Deux,Plus de trois,Europe,Vacances avec ta famille,Avion,Marche à pied,Métro / RER,"Bus (dont microbus, Traverse, etc.)",,,,C'est plus rapide,"Voiture, scooter, moto",Hélène Boucher,Terminale,Fille,2.58426966292135
